Rarity Rank,Name,Type,Mech Pattern,Organic Pattern,Primary Color,Secondary Color,Full Head Accessory,Head Top Accessory,Eye Accessory,Piercing,Glow Color,Eye Color
1658,Wolf #952,Organic,None,Hearts,Avocado Green,Electric Blue,None,Third Eye,None,Silver Right and Nose,None,Coffee Brown
1659,Wolf #2978,Hybrid,Bolts,Checker,Burgundy,Midnight,None,None,None,None,Neon Red,Blood Red
1660,Wolf #1879,Organic,None,Hearts,Slime Green,Avocado Green,None,Unicorn Horn,Ski Goggles,None,None,Ocean Blue
1661,Wolf #576,Organic,None,Wild,Lemon Yellow,Midnight,None,None,Eye Patch,Gold Right,None,Sunrise Orange
1662,Wolf #1510,Organic,None,Flames,Forest Green,Mint,None,None,None,Silver Left and Nose,None,Candy
1663,Wolf #1130,Mech,Bolts,None,Burgundy,Sunrise Orange,None,None,None,None,Neon Red,Lemon Yellow
1664,Wolf #1612,Organic,None,Polkadots,Slime Green,Electric Blue,None,None,Shutter Shades,Silver Nose,None,Blood Red
1665,Wolf #135,Organic,None,Hearts,Blood Red,Avocado Green,Speed Goggles,None,None,Silver Left,None,Coffee Brown
1666,Wolf #1984,Organic,None,Hearts,Avocado Green,Forest Green,None,None,Flight Goggles,Silver Nose,None,Coffee Brown
1667,Wolf #2028,Organic,None,Giraffe,Coffee Brown,Mint,Headband,None,None,Gold Nose,None,Electric Blue
1668,Wolf #106,Hybrid,Mineral,Wild,Sunrise Orange,Coffee Brown,None,None,None,None,Neon Violet,Slime Green
1669,Wolf #2398,Organic,None,Polkadots,Lemon Yellow,Sunrise Orange,None,None,Sci-Fi Visor,Silver Left,None,Lemon Yellow
1670,Wolf #2538,Organic,None,Polkadots,Royal Purple,Avocado Green,VR Headset,None,None,Silver Nose,None,Slime Green
1671,Wolf #1117,Organic,None,Giraffe,Lemon Yellow,Royal Purple,Eye of the Observer,None,None,Gold Left,None,Lemon Yellow
1672,Wolf #1086,Organic,None,Split,Avocado Green,Lemon Yellow,Eye of the Observer,None,None,Gold Left,None,Candy
1673,Wolf #158,Hybrid,Chrome,Giraffe,Royal Purple,White,None,None,None,None,Neon Green,Sunrise Orange
1674,Wolf #433,Organic,None,Hearts,Forest Green,White,None,ETH Orb,None,Silver Right,None,Slime Green
1675,Wolf #83,Mech,Bolts,None,Electric Blue,Coffee Brown,None,None,None,None,Neon Violet,Lemon Yellow
1676,Wolf #443,Organic,None,Wild,Sunrise Orange,Royal Purple,Headband,None,None,Silver Right and Nose,None,Ocean Blue
1677,Wolf #51,Organic,None,Halloween,Burgundy,Sunrise Orange,Doom Mask,None,None,None,None,Royal Purple
1678,Wolf #2872,Mech,Bolts,None,Mint,Coffee Brown,None,None,None,None,Neon Red,Slime Green
1679,Wolf #1369,Hybrid,Bolts,Tiger,Forest Green,Avocado Green,None,None,None,None,Neon Orange,Slime Green
1680,Wolf #1934,Hybrid,Bolts,Tiger,Midnight,Sunrise Orange,None,None,None,None,Neon Orange,Slime Green
1681,Wolf #3146,Organic,None,Moon and Stars,Burgundy,Bubblegum Pink,Boxing Helmet,None,None,None,None,Royal Purple
1682,Wolf #2379,Organic,None,Checker,Mint,Midnight,None,Third Eye,None,Silver Nose,None,Lemon Yellow
1683,Wolf #2038,Mech,Bolts,None,Coffee Brown,Electric Blue,None,None,None,None,Neon Violet,Slime Green
1684,Wolf #1341,Organic,None,Wild,Midnight,Electric Blue,Eye of the Observer,None,None,Gold Right,None,Ocean Blue
1685,Wolf #2043,Hybrid,Bolts,Checker,Royal Purple,Sunrise Orange,None,None,None,None,Neon Pink,Electric Blue
1686,Wolf #1671,Hybrid,Color Burst,Tiger,Mint,Forest Green,None,None,None,None,Neon Green,Coffee Brown
1687,Wolf #1190,Organic,None,Giraffe,Avocado Green,Electric Blue,None,None,Sci-Fi Visor,Silver Left,None,Sunrise Orange
1688,Wolf #2351,Organic,None,Moon and Stars,Forest Green,Electric Blue,None,Third Eye,None,Silver Left,None,Blood Red
1689,Wolf #2608,Organic,None,Giraffe,Avocado Green,Electric Blue,None,ETH Orb,Sci-Fi Visor,None,None,Ocean Blue
1690,Wolf #1681,Mech,Bolts,None,Sunrise Orange,Midnight,None,None,None,None,Neon Red,Bubblegum Pink
1691,Wolf #3120,Organic,None,Split,Forest Green,Electric Blue,None,Third Eye,Radar,None,None,Sunrise Orange
1692,Wolf #1611,Organic,None,Wild,Royal Purple,Coffee Brown,VR Headset,None,None,Gold Left,None,Slime Green
1693,Wolf #1935,Organic,None,Polkadots,White,Coffee Brown,Headband,None,None,Gold Left,None,Blood Red
1694,Wolf #1024,Organic,None,Giraffe,Slime Green,Sunrise Orange,None,ETH Orb,None,Gold Left,None,Bubblegum Pink
1695,Wolf #869,Organic,None,Flames,White,Midnight,None,None,Star Trek Visor,None,None,Ocean Blue
1696,Wolf #3164,Organic,None,Wild,Midnight,Bubblegum Pink,None,Third Eye,None,Gold Right,None,Coffee Brown
1697,Wolf #1156,Organic,None,Checker,Coffee Brown,Sunrise Orange,None,None,Radar,Silver Left,None,Electric Blue
1698,Wolf #1142,Organic,None,Checker,Midnight,Forest Green,None,Third Eye,None,Silver Right,None,Ocean Blue
1699,Wolf #262,Organic,None,Hearts,Coffee Brown,Sunrise Orange,Eye of the Observer,None,None,Gold Right,None,Lemon Yellow
1700,Wolf #483,Organic,None,Hearts,Forest Green,Sunrise Orange,None,None,Shutter Shades,Silver Right,None,Ocean Blue
1701,Wolf #1485,Organic,None,Tiger,White,Sunrise Orange,None,Third Eye,Eye Patch,None,None,Coffee Brown
1702,Wolf #1265,Organic,None,Moon and Stars,Royal Purple,Sunrise Orange,Headband,None,None,Gold Left,None,Royal Purple
1703,Wolf #1658,Hybrid,Color Burst,Hearts,Midnight,Sunrise Orange,None,None,None,None,Neon Red,Sunrise Orange
1704,Wolf #170,Hybrid,Zebra,Polkadots,Blood Red,Forest Green,None,None,None,None,Neon Green,Blood Red
1705,Wolf #604,Organic,None,Tiger,Royal Purple,Lemon Yellow,Speed Goggles,None,None,Gold Right,None,Coffee Brown
1706,Wolf #1029,Organic,None,Giraffe,Midnight,Forest Green,None,Third Eye,None,Gold Nose,None,Ocean Blue
1707,Wolf #2256,Organic,None,Split,Forest Green,Royal Purple,None,None,Radar,Silver Right,None,Lemon Yellow
1708,Wolf #1738,Organic,None,Hearts,Coffee Brown,Electric Blue,None,ETH Orb,Ski Goggles,None,None,Bubblegum Pink
1709,Wolf #2555,Organic,None,Split,Electric Blue,Avocado Green,Eye of the Observer,None,None,Gold Left,None,Sunrise Orange
1710,Wolf #2939,Mech,Bolts,None,Midnight,Forest Green,None,None,None,None,Neon Red,Slime Green
1711,Wolf #2158,Organic,None,Hearts,Royal Purple,Forest Green,Speed Goggles,None,None,Gold Nose,None,Ocean Blue
1712,Wolf #3114,Organic,None,Flames,Sunrise Orange,Lemon Yellow,Headband,None,None,Gold Left,None,Electric Blue
1713,Wolf #1187,Organic,None,Giraffe,Midnight,Forest Green,None,Unicorn Horn,None,Silver Right,None,Ocean Blue
1714,Wolf #863,Hybrid,Bolts,Hearts,Sunrise Orange,Slime Green,None,None,None,None,Neon Orange,Slime Green
1715,Wolf #338,Organic,None,Base,Lemon Yellow,Coffee Brown,Speed Goggles,None,None,None,None,Matrix
1716,Wolf #3178,Organic,None,Split,Lemon Yellow,Avocado Green,None,Third Eye,Radar,None,None,Blood Red
1717,Wolf #2523,Organic,None,Wild,Sunrise Orange,Coffee Brown,VR Headset,None,None,Gold Left,None,Slime Green
1718,Wolf #1378,Organic,None,Wild,Sunrise Orange,Burgundy,Speed Goggles,None,None,Gold Left,None,Royal Purple
1719,Wolf #3289,Organic,None,Hearts,Electric Blue,Lemon Yellow,None,Third Eye,Radar,None,None,Lemon Yellow
1720,Wolf #1233,Organic,None,Hearts,Lemon Yellow,Sunrise Orange,None,ETH Orb,None,Gold Left,None,Bubblegum Pink
1721,Wolf #645,Organic,None,Giraffe,Electric Blue,Forest Green,None,None,None,Silver Right and Nose,None,Matrix
1722,Wolf #961,Organic,None,Wild,Avocado Green,Electric Blue,Eye of the Observer,None,None,Gold Nose,None,Bubblegum Pink
1723,Wolf #1901,Organic,None,Giraffe,Coffee Brown,White,None,ETH Orb,Eye Patch,None,None,Lemon Yellow
1724,Wolf #2238,Organic,None,Moon and Stars,Mint,Burgundy,Headband,None,None,None,None,Lemon Lime
1725,Wolf #2794,Mech,Zebra,None,Mint,Sunrise Orange,None,None,None,None,Neon Green,Electric Blue
1726,Wolf #639,Organic,None,Thunder,Ocean Blue,Electric Blue,None,None,None,Gold Left,None,Lemon Yellow
1727,Wolf #1695,Organic,None,Tiger,Lemon Yellow,Coffee Brown,None,ETH Orb,None,Silver Nose,None,Ocean Blue
1728,Wolf #1426,Organic,None,Split,Midnight,Avocado Green,None,Unicorn Horn,Eye Patch,None,None,Sunrise Orange
1729,Wolf #1948,Organic,None,Split,Sunrise Orange,Bubblegum Pink,Speed Goggles,None,None,Silver Nose,None,Slime Green
1730,Wolf #907,Organic,None,Flames,Coffee Brown,Avocado Green,None,Third Eye,Eye Patch,None,None,Electric Blue
1731,Wolf #2056,Organic,None,Hearts,Midnight,Sunrise Orange,None,Third Eye,Ski Goggles,None,None,Bubblegum Pink
1732,Wolf #1001,Hybrid,Imperfecto,Halloween,Avocado Green,Mint,None,None,None,None,Neon Green,Sunrise Orange
1733,Wolf #301,Hybrid,Bolts,Polkadots,Midnight,Electric Blue,None,None,None,None,Neon Blue,Royal Purple
1734,Wolf #2402,Organic,None,Moon and Stars,Midnight,Burgundy,None,None,None,Silver Right and Nose,None,Royal Purple
1735,Wolf #1040,Organic,None,Moon and Stars,Coffee Brown,Electric Blue,None,None,Ski Goggles,Silver Right,None,Electric Blue
1736,Wolf #967,Organic,None,Wild,Lemon Yellow,Coffee Brown,None,Third Eye,Sci-Fi Visor,None,None,Sunrise Orange
1737,Wolf #1523,Organic,None,Wild,Coffee Brown,Midnight,None,Third Eye,Flight Goggles,None,None,Coffee Brown
1738,Wolf #214,Hybrid,Imperfecto,Polkadots,Coffee Brown,Forest Green,None,None,None,None,Neon Blue,Blood Red
1739,Wolf #1239,Hybrid,Bolts,Hearts,Sunrise Orange,Slime Green,None,None,None,None,Neon Blue,Slime Green
1740,Wolf #1492,Hybrid,Zebra,Flames,Sunrise Orange,Avocado Green,None,None,None,None,Neon Red,Blood Red
1741,Wolf #1008,Organic,None,Wild,White,Sunrise Orange,None,Halo,Shutter Shades,None,None,Slime Green
1742,Wolf #1892,Organic,None,Polkadots,Midnight,Royal Purple,Speed Goggles,None,None,Silver Right,None,Royal Purple
1743,Wolf #2674,Hybrid,Bolts,Split,Lemon Yellow,Forest Green,None,None,None,None,Neon Blue,Bubblegum Pink
1744,Wolf #957,Organic,None,Split,Electric Blue,Royal Purple,None,Third Eye,Deal with it Shades,None,None,Sunrise Orange
1745,Wolf #2082,Organic,None,Polkadots,Slime Green,Coffee Brown,None,ETH Orb,None,Silver Right,None,Blood Red
1746,Wolf #260,Hybrid,Color Burst,Hearts,Mint,Royal Purple,None,None,None,None,Neon Green,Sunrise Orange
1747,Wolf #3073,Organic,None,Giraffe,Royal Purple,Avocado Green,None,Halo,None,Silver Left,None,Candy
1748,Wolf #2306,Organic,None,Wild,Electric Blue,Avocado Green,None,Third Eye,Future Visor,None,None,Ocean Blue
1749,Wolf #407,Organic,None,Tiger,Sunrise Orange,Royal Purple,None,Unicorn Horn,Ski Goggles,None,None,Coffee Brown
1750,Wolf #1296,Organic,None,Polkadots,Burgundy,Sunrise Orange,Speed Goggles,None,None,Silver Right,None,Coffee Brown
1751,Wolf #2322,Organic,None,Wild,Sunrise Orange,Mint,None,Unicorn Horn,None,Gold Left,None,Blood Red
1752,Wolf #1152,Hybrid,Mineral,Giraffe,Midnight,Avocado Green,None,None,None,None,Neon Green,Coffee Brown
1753,Wolf #2467,Organic,None,Polkadots,Slime Green,Ocean Blue,Doom Mask,None,None,None,None,Bubblegum Pink
1754,Wolf #837,Mech,Bolts,None,Slime Green,Electric Blue,None,None,None,None,Neon Red,Lemon Yellow
1755,Wolf #1395,Mech,Bolts,None,Royal Purple,Coffee Brown,None,None,None,None,Neon Red,Bubblegum Pink
1756,Wolf #1253,Organic,None,Wild,Forest Green,Sunrise Orange,None,Third Eye,None,Silver Left and Nose,None,Lemon Yellow
1757,Wolf #1960,Hybrid,Color Burst,Hearts,Burgundy,Royal Purple,None,None,None,None,Neon Green,Coffee Brown
1758,Wolf #1825,Organic,None,Moon and Stars,Avocado Green,Coffee Brown,None,None,Eye Patch,Silver Nose,None,Ocean Blue
1759,Wolf #1493,Hybrid,Bolts,Moon and Stars,Avocado Green,Blood Red,None,None,None,None,Neon Red,Ocean Blue
1760,Wolf #965,Organic,None,Thunder,Royal Purple,Blood Red,None,None,None,Gold Nose,None,Lemon Yellow
1761,Wolf #1863,Mech,Imperfecto,None,White,Lemon Yellow,None,None,None,None,Neon Green,Lemon Yellow
1762,Wolf #1961,Organic,None,Polkadots,Forest Green,Sunrise Orange,None,Unicorn Horn,Shutter Shades,None,None,Coffee Brown
1763,Wolf #635,Organic,None,Flames,Sunrise Orange,Avocado Green,Headband,None,None,Silver Left,None,Slime Green
1764,Wolf #1288,Organic,None,Thunder,Avocado Green,White,None,None,None,Silver Right and Nose,None,Electric Blue
1765,Wolf #3079,Organic,None,Split,Coffee Brown,Midnight,None,None,Lasers Blue,None,None,Slime Green
1766,Wolf #2809,Organic,None,Flames,Electric Blue,Avocado Green,None,None,Deal with it Shades,None,None,Lemon Lime
1767,Wolf #2397,Hybrid,Chrome,Hearts,Royal Purple,White,None,None,None,None,Neon Green,Coffee Brown
1768,Wolf #960,Organic,None,Hearts,Ocean Blue,Blood Red,Eye of the Observer,None,None,None,None,Ocean Blue
1769,Wolf #2843,Organic,None,Wild,Sunrise Orange,Midnight,WcDonald’s Hat,None,None,None,None,Chaos
1770,Wolf #1581,Organic,None,Polkadots,Midnight,Forest Green,Headband,None,None,Gold Nose,None,Electric Blue
1771,Wolf #518,Hybrid,Bolts,Hearts,Blood Red,White,None,None,None,None,Neon Red,Coffee Brown
1772,Wolf #617,Organic,None,Giraffe,Sunrise Orange,Lemon Yellow,None,None,Eye Patch,Gold Nose,None,Electric Blue
1773,Wolf #3192,Mech,Bolts,None,Electric Blue,Sunrise Orange,None,None,None,None,Neon Red,Sunrise Orange
1774,Wolf #766,Organic,None,Wild,Avocado Green,Blood Red,Headband,None,None,Silver Left,None,Blood Red
1775,Wolf #488,Organic,None,Checker,Lemon Yellow,Burgundy,WcDonald’s Hat,None,None,None,None,Slime Green
1776,Wolf #1334,Organic,None,Split,Coffee Brown,Midnight,None,None,Ski Goggles,Silver Nose,None,Blood Red
1777,Wolf #287,Mech,Zebra,None,Coffee Brown,Forest Green,None,None,None,None,Neon Green,Lemon Yellow
1778,Wolf #819,Organic,None,Checker,Royal Purple,Burgundy,None,None,Ski Goggles,None,None,Matrix
1779,Wolf #2117,Organic,None,Moon and Stars,Lemon Yellow,Coffee Brown,None,ETH Orb,None,Silver Left,None,Electric Blue
1780,Wolf #1178,Organic,None,Split,Electric Blue,Sunrise Orange,None,None,Ski Goggles,Silver Right,None,Royal Purple
1781,Wolf #79,Organic,None,Moon and Stars,Lemon Yellow,Ocean Blue,Doom Mask,None,None,None,None,Electric Blue
1782,Wolf #2347,Organic,None,Moon and Stars,Bubblegum Pink,Avocado Green,Doom Mask,None,None,None,None,Royal Purple
1783,Wolf #452,Organic,None,Polkadots,Slime Green,Coffee Brown,None,ETH Orb,Ski Goggles,None,None,Coffee Brown
1784,Wolf #3072,Organic,None,Split,Slime Green,Coffee Brown,None,Unicorn Horn,Eye Patch,None,None,Electric Blue
1785,Wolf #2792,Organic,None,Halloween,Royal Purple,White,Speed Goggles,None,None,None,None,Lemon Lime
1786,Wolf #688,Organic,None,Flames,Sunrise Orange,Mint,Speed Goggles,None,None,None,None,Matrix
1787,Wolf #3325,Hybrid,Zebra,Wild,Electric Blue,Coffee Brown,None,None,None,None,Neon Yellow,Electric Blue
1788,Wolf #553,Organic,None,Checker,Avocado Green,Forest Green,Headband,None,None,Gold Right,None,Coffee Brown
1789,Wolf #99,Organic,None,Wild,White,Midnight,None,None,Flight Goggles,None,None,Matrix
1790,Wolf #2944,Hybrid,Imperfecto,Giraffe,Bubblegum Pink,Forest Green,None,None,None,None,Neon Green,Bubblegum Pink
1791,Wolf #2693,Organic,None,Base,Mint,Blood Red,None,Halo,None,None,None,Coffee Brown
1792,Wolf #527,Hybrid,Zebra,Polkadots,Slime Green,Lemon Yellow,None,None,None,None,Neon Violet,Coffee Brown
1793,Wolf #2228,Organic,None,Halloween,Avocado Green,Sunrise Orange,Cubone Mask,None,None,None,None,Sunrise Orange
1794,Wolf #1413,Organic,None,Polkadots,Avocado Green,Coffee Brown,Eye of the Observer,None,None,Silver Left,None,Blood Red
1795,Wolf #2060,Organic,None,Split,Coffee Brown,Avocado Green,None,Third Eye,Deal with it Shades,None,None,Blood Red
1796,Wolf #2945,Organic,None,Giraffe,Coffee Brown,Slime Green,None,Third Eye,None,Silver Right,None,Slime Green
1797,Wolf #662,Mech,Zebra,None,Avocado Green,Midnight,None,None,None,None,Neon Green,Lemon Yellow
1798,Wolf #1419,Hybrid,Imperfecto,Moon and Stars,Sunrise Orange,Burgundy,None,None,None,None,Neon Green,Royal Purple
1799,Wolf #3001,Organic,None,Moon and Stars,Lemon Yellow,White,None,None,Eye Patch,None,None,Lemon Lime
1800,Wolf #799,Organic,None,Split,Slime Green,Avocado Green,None,Third Eye,Ski Goggles,None,None,Royal Purple
1801,Wolf #2847,Organic,None,Checker,Bubblegum Pink,Ocean Blue,None,Unicorn Horn,None,None,None,Blood Red
1802,Wolf #1154,Organic,None,Wild,Lemon Yellow,Royal Purple,None,None,Sci-Fi Visor,Silver Left,None,Coffee Brown
1803,Wolf #2706,Organic,None,Wild,Slime Green,Midnight,None,Unicorn Horn,None,Silver Right,None,Slime Green
1804,Wolf #423,Organic,None,Hearts,Sunrise Orange,Avocado Green,None,None,Shutter Shades,Gold Nose,None,Electric Blue
1805,Wolf #2408,Organic,None,Giraffe,Royal Purple,Sunrise Orange,None,ETH Orb,Deal with it Shades,None,None,Coffee Brown
1806,Wolf #2862,Organic,None,Halloween,Slime Green,Sunrise Orange,Doom Mask,None,None,None,None,Royal Purple
1807,Wolf #247,Hybrid,Color Burst,Checker,Royal Purple,Avocado Green,None,None,None,None,Neon Red,Electric Blue
1808,Wolf #2905,Organic,None,Hearts,Avocado Green,Lemon Yellow,None,ETH Orb,None,Gold Nose,None,Ocean Blue
1809,Wolf #1968,Organic,None,Flames,Ocean Blue,White,Headband,None,None,None,None,Bubblegum Pink
1810,Wolf #1359,Hybrid,Color Burst,Tiger,Avocado Green,Coffee Brown,None,None,None,None,Neon Green,Royal Purple
1811,Wolf #3316,Organic,None,Wild,Lemon Yellow,Avocado Green,Eye of the Observer,None,None,Silver Nose,None,Royal Purple
1812,Wolf #1064,Hybrid,Color Burst,Polkadots,White,Midnight,None,None,None,None,Neon Green,Electric Blue
1813,Wolf #3063,Mech,Imperfecto,None,Royal Purple,Avocado Green,None,None,None,None,Neon Red,Slime Green
1814,Wolf #1332,Hybrid,Color Burst,Split,Coffee Brown,Avocado Green,None,None,None,None,Neon Violet,Lemon Yellow
1815,Wolf #897,Organic,None,Thunder,Lemon Yellow,Mint,None,Third Eye,None,None,None,Candy
1816,Wolf #95,Organic,None,Hearts,Midnight,Bubblegum Pink,None,None,Star Trek Visor,None,None,Slime Green
1817,Wolf #1604,Hybrid,Bolts,Hearts,Blood Red,Avocado Green,None,None,None,None,Neon Red,Blood Red
1818,Wolf #2501,Organic,None,Wild,Mint,Royal Purple,Speed Goggles,None,None,Silver Right,None,Royal Purple
1819,Wolf #129,Hybrid,Imperfecto,Tiger,Avocado Green,Ocean Blue,None,None,None,None,Neon Green,Ocean Blue
1820,Wolf #3138,Hybrid,Zebra,Polkadots,Royal Purple,Bubblegum Pink,None,None,None,None,Neon Red,Electric Blue
1821,Wolf #2311,Organic,None,Wild,White,Royal Purple,None,None,Radar,Silver Nose,None,Coffee Brown
1822,Wolf #266,Organic,None,Wild,Electric Blue,Midnight,None,Third Eye,None,Gold Left,None,Candy
1823,Wolf #46,Hybrid,Color Burst,Giraffe,Avocado Green,Sunrise Orange,None,None,None,None,Neon Violet,Lemon Yellow
1824,Wolf #748,Organic,None,Wild,Mint,Blood Red,None,None,None,Gold Left and Nose,None,Ocean Blue
1825,Wolf #2603,Organic,None,Base,Blood Red,Sunrise Orange,None,None,None,Gold Right,None,Bubblegum Pink
1826,Wolf #2548,Hybrid,Zebra,Polkadots,Avocado Green,Forest Green,None,None,None,None,Neon Blue,Coffee Brown
1827,Wolf #514,Mech,Imperfecto,None,Slime Green,Forest Green,None,None,None,None,Neon Green,Electric Blue
1828,Wolf #2058,Organic,None,Split,Slime Green,Electric Blue,Speed Goggles,None,None,Silver Left,None,Sunrise Orange
1829,Wolf #989,Organic,None,Hearts,Avocado Green,Midnight,None,ETH Orb,Shutter Shades,None,None,Lemon Yellow
1830,Wolf #1312,Organic,None,Moon and Stars,Avocado Green,Electric Blue,None,None,Shutter Shades,Silver Nose,None,Electric Blue
1831,Wolf #1967,Organic,None,Split,Electric Blue,Coffee Brown,None,None,Ski Goggles,Silver Left,None,Sunrise Orange
1832,Wolf #2104,Mech,Imperfecto,None,Forest Green,Avocado Green,None,None,None,None,Neon Green,Slime Green
1833,Wolf #3148,Organic,None,Split,Avocado Green,Electric Blue,None,Unicorn Horn,Eye Patch,None,None,Blood Red
1834,Wolf #2571,Organic,None,Checker,Electric Blue,Sunrise Orange,Speed Goggles,None,None,Silver Nose,None,Coffee Brown
1835,Wolf #1962,Organic,None,Wild,Avocado Green,Slime Green,None,None,Eye Patch,Gold Left,None,Slime Green
1836,Wolf #2656,Organic,None,Wild,Blood Red,Coffee Brown,Headband,None,None,Silver Left,None,Coffee Brown
1837,Wolf #192,Organic,None,Hearts,Lemon Yellow,Royal Purple,None,None,Eye Patch,Silver Nose,None,Coffee Brown
1838,Wolf #1762,Organic,None,Split,Midnight,Sunrise Orange,Eye of the Observer,None,None,Silver Nose,None,Lemon Yellow
1839,Wolf #693,Hybrid,Zebra,Split,Slime Green,Lemon Yellow,None,None,None,None,Neon Red,Bubblegum Pink
1840,Wolf #3318,Hybrid,Bolts,Hearts,Forest Green,Avocado Green,None,None,None,None,Neon Violet,Candy
1841,Wolf #154,Organic,None,Hearts,Avocado Green,Forest Green,None,Unicorn Horn,None,Gold Right,None,Lemon Yellow
1842,Wolf #336,Hybrid,Bolts,Polkadots,Lemon Yellow,Forest Green,None,None,None,None,Neon Blue,Lemon Yellow
1843,Wolf #638,Organic,None,Split,Slime Green,Sunrise Orange,None,Third Eye,None,Gold Left,None,Bubblegum Pink
1844,Wolf #538,Organic,None,Split,Avocado Green,Slime Green,None,Unicorn Horn,None,Silver Left,None,Ocean Blue
1845,Wolf #1790,Organic,None,Hearts,Avocado Green,Mint,Crown,None,None,None,None,Electric Blue
1846,Wolf #1076,Mech,Bolts,None,Royal Purple,Slime Green,None,None,None,None,Neon Green,Lemon Yellow
1847,Wolf #1579,Organic,None,Tiger,Mint,Blood Red,VR Headset,None,None,None,None,Coffee Brown
1848,Wolf #1494,Organic,None,Flames,Forest Green,Electric Blue,Doom Mask,None,None,None,None,Bubblegum Pink
1849,Wolf #1144,Organic,None,Polkadots,Coffee Brown,White,None,Unicorn Horn,None,Silver Nose,None,Coffee Brown
1850,Wolf #359,Organic,None,Thunder,Electric Blue,Coffee Brown,None,None,Deal with it Shades,None,None,Blood Red
1851,Wolf #685,Organic,None,Wild,Forest Green,Slime Green,None,Third Eye,None,Silver Nose,None,Blood Red
1852,Wolf #2861,Hybrid,Bolts,Hearts,Slime Green,Coffee Brown,None,None,None,None,Neon Blue,Electric Blue
1853,Wolf #1805,Organic,None,Split,Sunrise Orange,Royal Purple,Headband,None,None,Gold Right,None,Bubblegum Pink
1854,Wolf #2130,Organic,None,Split,Coffee Brown,Midnight,None,Unicorn Horn,None,Gold Left,None,Lemon Yellow
1855,Wolf #1841,Organic,None,Base,Blood Red,Midnight,None,None,Eye Patch,None,None,Lemon Yellow
1856,Wolf #2865,Organic,None,Base,Burgundy,Forest Green,None,Unicorn Horn,None,None,None,Candy
1857,Wolf #2424,Organic,None,Wild,Ocean Blue,White,None,None,None,Silver Left,None,Matrix
1858,Wolf #1732,Organic,None,Split,Forest Green,White,None,None,None,Gold Nose,None,Chaos
1859,Wolf #186,Organic,None,Wild,Royal Purple,Mint,None,Unicorn Horn,None,Gold Left,None,Coffee Brown
1860,Wolf #316,Hybrid,Imperfecto,Moon and Stars,Bubblegum Pink,Royal Purple,None,None,None,None,Neon Green,Electric Blue
1861,Wolf #232,Mech,Bolts,None,Avocado Green,Forest Green,None,None,None,None,Neon Green,Candy
1862,Wolf #2200,Hybrid,Imperfecto,Polkadots,Sunrise Orange,Slime Green,None,None,None,None,Neon Violet,Slime Green
1863,Wolf #689,Mech,Bolts,None,Midnight,Coffee Brown,None,None,None,None,Neon Green,Ocean Blue
1864,Wolf #3218,Organic,None,Split,Electric Blue,Forest Green,Speed Goggles,None,None,Silver Right,None,Ocean Blue
1865,Wolf #360,Organic,None,Wild,Ocean Blue,Royal Purple,None,None,None,Silver Right,None,Chaos
1866,Wolf #3311,Organic,None,Giraffe,Avocado Green,Forest Green,Speed Goggles,None,None,Gold Nose,None,Coffee Brown
1867,Wolf #1505,Organic,None,Hearts,Avocado Green,White,None,None,Eye Patch,Silver Left,None,Electric Blue
1868,Wolf #2585,Organic,None,Polkadots,Coffee Brown,Lemon Yellow,Eye of the Observer,None,None,Silver Nose,None,Electric Blue
1869,Wolf #1032,Hybrid,Imperfecto,Polkadots,Sunrise Orange,Lemon Yellow,None,None,None,None,Neon Violet,Candy
1870,Wolf #3113,Organic,None,Tiger,Electric Blue,Lemon Yellow,None,Third Eye,None,Silver Nose,None,Lemon Yellow
1871,Wolf #3278,Organic,None,Thunder,Lemon Yellow,Mint,None,None,None,Gold Left,None,Slime Green
1872,Wolf #1198,Organic,None,Base,Ocean Blue,Royal Purple,None,Third Eye,None,None,None,Bubblegum Pink
1873,Wolf #714,Hybrid,Zebra,Wild,Mint,Burgundy,None,None,None,None,Neon Green,Ocean Blue
1874,Wolf #3293,Hybrid,Chrome,Hearts,Electric Blue,Sunrise Orange,None,None,None,None,Neon Green,Coffee Brown
1875,Wolf #761,Hybrid,Color Burst,Giraffe,White,Electric Blue,None,None,None,None,Neon Green,Electric Blue
1876,Wolf #2906,Organic,None,Wild,Electric Blue,Avocado Green,None,Unicorn Horn,None,Silver Left,None,Candy
1877,Wolf #1834,Organic,None,Tiger,Coffee Brown,Royal Purple,Speed Goggles,None,None,Silver Nose,None,Coffee Brown
1878,Wolf #718,Organic,None,Hearts,Sunrise Orange,Forest Green,None,Third Eye,Shutter Shades,None,None,Slime Green
1879,Wolf #2053,Organic,None,Wild,Forest Green,Midnight,Speed Goggles,None,None,Gold Left,None,Lemon Yellow
1880,Wolf #189,Organic,None,Checker,Royal Purple,Midnight,Eye of the Observer,None,None,None,None,Matrix
1881,Wolf #995,Organic,None,Wild,Lemon Yellow,Electric Blue,Eye of the Observer,None,None,Silver Left,None,Lemon Yellow
1882,Wolf #479,Organic,None,Giraffe,White,Avocado Green,None,ETH Orb,None,Silver Left,None,Lemon Yellow
1883,Wolf #3155,Organic,None,Polkadots,Forest Green,Royal Purple,Speed Goggles,None,None,Silver Right,None,Coffee Brown
1884,Wolf #2346,Organic,None,Wild,Midnight,Coffee Brown,None,Unicorn Horn,None,Silver Nose,None,Royal Purple
